OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-601752151162501,SB00201201AACA1  012,Well,,19020301,,,,,60.29719860000000,-151.2758266000000,25000,5,seconds,Interpolated from MAP.,NAD83,115.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,Confined single aquifer,19890513,70,ft,70,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601756151161101,SB00201201AAAD1  005,Well,,19020301,,,,,60.29830990000000,-151.2719378000000,63360,10,seconds,Interpolated from MAP.,NAD83,130.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19811028,133,ft,133,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601757151170301,SB00201201BAAD1  006,Well,,19020301,,,,,60.29858688000000,-151.2863820000000,63360,5,seconds,Interpolated from MAP.,NAD83,175.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19820721,47.0,ft,47.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601759151170801,SB00201201BAAB1  011,Well,,19020301,,,,,60.29914230000000,-151.2877709000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,Confined single aquifer,19830831,38,ft,38,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601805151155801,SB00301131CCCA1  006,Well,,19020301,,,,,60.30081006000000,-151.2683267000000,63360,10,seconds,Interpolated from MAP.,NAD83,100.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19671001,70.0,ft,70.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601810151152301,SB00301131CDAD1  010,Well,,19020301,,,,,60.30219948000000,-151.2586046000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,,19860101,95,ft,95,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601810151154101,SB00301131CDBC1  003,Well,,19020301,,,,,60.30219919000000,-151.2636045000000,63360,10,seconds,Interpolated from MAP.,NAD83,100.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,,139,ft,139,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601811151155001,SB00301131CCAD1  005,Well,,19020301,,,,,60.30247680000000,-151.2661045000000,63360,10,seconds,Interpolated from MAP.,NAD83,100.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1965,242,ft,242,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601812151152301,SB00301131CDAA1  009,Well,,19020301,,,,,60.30275500000000,-151.2586046000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,,19830908,81,ft,81,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601814151152701,SB00301131CDAB1  008,Well,,19020301,,,,,60.30331050000000,-151.2597157000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,,19870501,104,ft,104.01,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601815151153501,SB00301131CACD1  013,Well,,19020301,,,,,60.30358810000000,-151.2619379000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,Confined single aquifer,19840618,109,ft,109,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601816151133501,SB00301132DBCC1  002,Well,,19020301,,,,,60.30386720000000,-151.2286048000000,25000,5,seconds,Interpolated from MAP.,NAD83,57.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,Confined single aquifer,19690922,215,ft,215.01,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601817151152901,SB00301131CADC1  016,Well,,19020301,,,,,60.30414378000000,-151.2602712000000,25000,5,seconds,Interpolated from MAP.,NAD83,139.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1985,116,ft,116,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601818151154001,SB00301131BDCC1  001,Well,,19020301,,,,,60.30775459000000,-151.2641600000000,63360,10,seconds,Interpolated from MAP.,NAD83,140.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19580626,150,ft,150,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601819151152901,SB00301131CADB1  012,Well,,19020301,,,,,60.30469930000000,-151.2602712000000,25000,5,seconds,Interpolated from MAP.,NAD83,131.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,Unconfined single aquifer,19840229,89,ft,89,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601819151181001,SB00301235DACA1  001,Well,,19020301,,,,,60.30469670000000,-151.3049928000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Bedrock,,19880924,89,ft,89,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601820151153501,SB00301131CACA1  020,Well,,19020301,,,,,60.30497700000000,-151.2619379000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1982,55,ft,55,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601820151154201,SB00301131CACB1  019,Well,,19020301,,,,,60.30497689000000,-151.2638823000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,199011,165,ft,165,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601821151152301,SB00301131CAAD1  017,Well,,19020301,,,,,60.30525497000000,-151.2586046000000,25000,5,seconds,Interpolated from MAP.,NAD83,139.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19821127,80,ft,80,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601821151222401,SB00301233CAAC1  001,Well,,19020301,,,,,60.30524810000000,-151.3755472000000,25000,5,seconds,Interpolated from MAP.,NAD83,74.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,,19860828,154,ft,154.01,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601822151154401,SB00301131CABC1  014,Well,,19020301,,,,,60.30553240000000,-151.2644378000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1978,60,ft,60,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601823151152901,SB00301131CAAC1  015,Well,,19020301,,,,,60.30581040000000,-151.2602712000000,25000,5,seconds,Interpolated from MAP.,NAD83,139.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1992,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601823151153201,SB00301131CABD1  011,Well,,19020301,,,,,60.30581037000000,-151.2611045000000,25000,5,seconds,Interpolated from MAP.,NAD83,123.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Bedrock,Confined single aquifer,19840606,97,ft,97,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601826151152801,SB00301131CAAB1  018,Well,,19020301,,,,,60.30664370000000,-151.2599934000000,25000,5,seconds,Interpolated from MAP.,NAD83,131.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1992,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601828151154301,SB00301131BDCC2  001,Well,,19020301,,,,,60.30719900000000,-151.2641600000000,25000,5,seconds,Interpolated from MAP.,NAD83,115.6,feet,.1,feet,Level or other surveyed method.,NGVD29,US,02,122,,Quaternary System,Unconfined single aquifer,19920324,31,ft,31,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601828151155001,SB00301131BCDD1  002,Well,,19020301,,,,,60.30719890000000,-151.2661045000000,63360,10,seconds,Interpolated from MAP.,NAD83,100.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,,267,ft,267,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601829151143001,SB00301131ADDD1  007,Well,,19020301,,,,,60.30747780000000,-151.2438825000000,63360,10,seconds,Interpolated from MAP.,NAD83,100.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730524,140,ft,140,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601829151223601,SB00301233BCDD1  002,Well,,19020301,,,,,60.30747010000000,-151.3788807000000,25000,5,seconds,Interpolated from MAP.,NAD83,74.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,,19810811,134,ft,134,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601830151154001,SB00301131BDCC4  001,Well,,19020301,,,,,60.30775460000000,-151.2633267000000,25000,5,seconds,Interpolated from MAP.,NAD83,115.7,feet,.1,feet,Level or other surveyed method.,NGVD29,US,02,122,,Quaternary System,Unconfined single aquifer,19920325,28.5,ft,28.5,ft,NWIS
